Torque(Nm),Brake_Velocity(rad/s),All_exp_Velocity(rad/s)
,,1.6904523372650146
,,1.6904523372650146
,,1.6598341464996338
,,1.648553729057312
,,1.648553729057312
,,1.6356618404388428
,,1.6920636892318726
,,1.6501652002334595
,,1.6872293949127197
,,1.6711146831512451
,,1.6582225561141968
,,1.5550872087478638
,,1.672726035118103
,,1.6324388980865479
,,1.6324388980865479
,,1.6678913831710815
,,1.6276042461395264
,,1.5389724969863892
,,1.5389724969863892
,,1.6646684408187866
,,1.779084324836731
,,1.6549994945526123
,,1.777472972869873
,,1.6582225561141968
,,1.698509931564331
,,1.774249792098999
,,1.6856179237365723
,,1.6324388980865479
,,1.6324388980865479
,,1.6114895343780518
,,1.6114895343780518
,,1.6114895343780518
,,1.6372731924057007
,,1.701732873916626
,,1.6404961347579956
,,1.6404961347579956
,,1.6437190771102905
,,1.6678913831710815
,,1.6678913831710815
,,1.593762993812561
,,1.6582225561141968
,,1.6582225561141968
,,1.6807835102081299
,,1.6807835102081299
,,1.721070647239685
,,1.672726035118103
,,1.5857056379318237
,,1.675948977470398
,,1.7097902297973633
,,1.751688838005066
,,1.7081788778305054
,,1.617935299873352
,,1.617935299873352
,,1.617935299873352
,,1.6549994945526123
,,1.6404961347579956
,,1.746854543685913
,,1.6598341464996338
,,1.6888408660888672
,,1.6533881425857544
,,1.675948977470398
,,1.6791719198226929
,,1.6791719198226929
,,1.6936753988265991
,,1.6936753988265991
,,1.6678913831710815
,,1.6840064525604248
,,1.6840064525604248
,,1.7645807266235352
,,1.6888408660888672
,,1.6888408660888672
,,1.6243813037872314
,,1.6243813037872314
,,1.5969860553741455
,,1.8451553583145142
,,1.7097902297973633
,,1.7097902297973633
,,1.8193715810775757
,,1.6952869892120361
,,1.6356618404388428
,,1.722682237625122
,,1.675948977470398
,,1.725905179977417
,,1.7307395935058594
,,1.698509931564331
,,1.7194592952728271
,,1.7355741262435913
,,1.7355741262435913
,,1.7371854782104492
,,1.7371854782104492
,,1.7404084205627441
,,1.6533881425857544
,,1.6533881425857544
,,1.7065672874450684
,,1.7065672874450684
,,1.722682237625122
,,1.722682237625122
,,1.7597464323043823
,,1.7694153785705566
,,1.6823949813842773
,,1.779084324836731
,,1.7420201301574707
,,1.7307395935058594
,,1.721070647239685
,,1.721070647239685
,,1.721070647239685
,,1.722682237625122
,,1.722682237625122
,,1.7339625358581543
,,1.7726383209228516
,,1.7726383209228516
,,1.9289528131484985
,,1.9289528131484985
,,1.7291282415390015
,,1.721070647239685
,,1.7694153785705566
,,1.7694153785705566
,,1.7404084205627441
,,1.7484660148620605
,,1.8177601099014282
,,1.6404961347579956
,,1.7726383209228516
,,1.7726383209228516
,,1.698509931564331
,,1.7581348419189453
,,1.7081788778305054
,,1.7871416807174683
,,1.7387970685958862
,,1.7565234899520874
,,1.7565234899520874
,,1.7387970685958862
,,1.9257298707962036
,,1.7323511838912964
,,1.7081788778305054
,,1.7194592952728271
,,1.7694153785705566
,,1.7291282415390015
,,1.7404084205627441
,,1.7581348419189453
,,1.675948977470398
,,1.774249792098999
,,1.7629693746566772
,,1.8000335693359375
,,1.7049559354782104
,,1.7049559354782104
,,1.8516013622283936
,,1.8516013622283936
,,1.7484660148620605
,,1.7033442258834839
,,1.700121283531189
,,1.750077486038208
,,1.7661924362182617
,,1.7903647422790527
,,1.7291282415390015
,,1.7291282415390015
,,1.774249792098999
,,1.8000335693359375
,,1.827428936958313
,,1.827428936958313
,,1.7452430725097656
,,1.779084324836731
,,1.746854543685913
,,1.7951992750167847
,,1.7694153785705566
,,1.779084324836731
,,1.8403209447860718
,,1.7597464323043823
,,1.7629693746566772
,,1.7951992750167847
,,1.779084324836731
,,1.7839187383651733
,,1.7194592952728271
,,1.9772975444793701
,,1.9772975444793701
,,1.7597464323043823
,,1.7597464323043823
,,1.7871416807174683
,,1.7726383209228516
,,1.7726383209228516
,,1.779084324836731
,,1.804868221282959
,,1.777472972869873
,,1.777472972869873
,,1.804868221282959
,,1.8451553583145142
,,1.8161486387252808
,,1.7307395935058594
,,1.8403209447860718
,,1.7452430725097656
,,1.7919763326644897
,,1.7919763326644897
,,1.7710269689559937
,,1.7710269689559937
,,1.8338748216629028
,,1.7613577842712402
,,1.7420201301574707
,,1.9192838668823242
,,1.8145371675491333
,,1.7903647422790527
,,1.8596587181091309
,,1.8419324159622192
,,1.7420201301574707
,,1.8435438871383667
,,1.7533005475997925
,,1.8000335693359375
,,1.8000335693359375
,,1.9257298707962036
,,1.8225945234298706
,,1.8225945234298706
,,1.8225945234298706
,,1.82904052734375
,,1.7678040266036987
,,1.7678040266036987
,,1.7565234899520874
,,1.7710269689559937
,,1.7597464323043823
,,1.801645278930664
,,1.8693276643753052
,,1.8693276643753052
,,1.8451553583145142
,,1.8403209447860718
,,1.804868221282959
,,1.8097025156021118
,,1.7565234899520874
,,1.830651879310608
,,1.830651879310608
,,1.830651879310608
,,1.7823072671890259
,,1.8387094736099243
,,1.804868221282959
,,1.8403209447860718
,,1.808091163635254
,,1.808091163635254
,,1.808091163635254
,,1.7452430725097656
,,1.7919763326644897
,,1.8354864120483398
,,1.8580471277236938
,,1.774249792098999
,,2.0272536277770996
,,1.7871416807174683
,,1.8225945234298706
,,1.8951115608215332
,,1.8854427337646484
,,1.8854427337646484
,,1.8902770280838013
,,2.007915735244751
,,1.8225945234298706
,,1.8902770280838013
,,1.8338748216629028
,,1.8951115608215332
,,1.7581348419189453
,,1.8467668294906616
,,1.7823072671890259
,,2.0127503871917725
,,1.804868221282959
,,1.9031689167022705
,,1.8709392547607422
,,1.8709392547607422
,,1.8612704277038574
,,1.8628817796707153
,,1.9950239658355713
,,1.832263469696045
,,1.8129256963729858
,,1.8838310241699219
,,1.8516013622283936
,,1.8419324159622192
,,1.827428936958313
,,1.827428936958313
,,1.8145371675491333
,,1.8145371675491333
,,1.8918886184692383
,,1.911226511001587
,,1.8999459743499756
,,1.8854427337646484
,,1.9015575647354126
,,1.8661047220230103
,,1.9080034494400024
,,1.8628817796707153
,,1.8854427337646484
,,1.8661047220230103
,,1.8983346223831177
,,1.8951115608215332
,,1.8951115608215332
,,1.8661047220230103
,,1.8661047220230103
,,1.8596587181091309
,,1.8596587181091309
,,1.9047805070877075
,,1.8918886184692383
